N RS DS
2060000 0.003773 0.017261 1
2070000 0.004519 0.01601 1
2080000 0.003721 0.016697 1
2090000 0.003857 0.017801 1
2100000 0.003787 0.016784 1
2110000 0.00507 0.016734 1
2120000 0.003649 0.017134 1
2130000 0.003906 0.019346 1
2140000 0.005503 0.019285 1
2150000 0.004017 0.016719 1
2160000 0.003872 0.016201 1
2170000 0.004692 0.024345 1
2180000 0.005807 0.022396 1
2190000 0.004002 0.020889 1
2200000 0.005503 0.01827 1
2210000 0.003976 0.017686 1
2220000 0.00415 0.018684 1
2230000 0.005705 0.01886 1
2240000 0.00461 0.020414 1
2250000 0.005258 0.020594 1
2260000 0.004309 0.021747 1
2270000 0.00495 0.021508 1
2280000 0.004244 0.019436 1
2290000 0.00496 0.017246 1
2300000 0.004188 0.019693 1
2310000 0.005043 0.02043 1
2320000 0.004452 0.017501 1
2330000 0.003936 0.017211 1
2340000 0.004781 0.017677 1
2350000 0.003989 0.019961 1
2360000 0.005257 0.02392 1
2370000 0.004738 0.019695 1
2380000 0.006127 0.019314 1
2390000 0.004318 0.019658 1
2400000 0.005342 0.018646 1
2410000 0.004469 0.019051 1
2420000 0.004813 0.018871 1
2430000 0.00422 0.020542 1
2440000 0.004932 0.022903 1
2450000 0.004745 0.023241 1
2460000 0.00593 0.023541 1
2470000 0.005414 0.022229 1
2480000 0.004508 0.018468 1
2490000 0.005008 0.020225 1
2500000 0.005256 0.027875 1
2510000 0.004349 0.021608 1
2520000 0.00571 0.023143 1
2530000 0.004611 0.024973 1
2540000 0.004764 0.024098 1
2550000 0.005012 0.020632 1
2560000 0.005279 0.0213 1
2570000 0.005079 0.024487 1
2580000 0.005586 0.024739 1
2590000 0.005861 0.020971 1
2600000 0.004938 0.019517 1
2610000 0.005681 0.019856 1
2620000 0.00449 0.0231 1
2630000 0.004693 0.023436 1
2640000 0.005928 0.021908 1
2650000 0.004932 0.026129 1
2660000 0.004919 0.02594 1
2670000 0.004889 0.026618 1
2680000 0.004966 0.026172 1
2690000 0.005232 0.024936 1
2700000 0.005873 0.02462 1
2710000 0.005209 0.026302 1
2720000 0.005081 0.024968 1
2730000 0.004553 0.020804 1
2740000 0.005779 0.020275 1
2750000 0.004761 0.021395 1
2760000 0.006042 0.023102 1
2770000 0.006194 0.022492 1
2780000 0.005255 0.024516 1
2790000 0.004837 0.024997 1
2800000 0.006448 0.027244 1
2810000 0.005432 0.020994 1
2820000 0.005465 0.022589 1
2830000 0.004517 0.022129 1
2840000 0.005426 0.022172 1
2850000 0.005174 0.024114 1
2860000 0.004655 0.022228 1
2870000 0.005258 0.021056 1
2880000 0.004718 0.022861 1
2890000 0.004835 0.02437 1
2900000 0.005604 0.023276 1
2910000 0.005666 0.024851 1
2920000 0.005276 0.025751 1
2930000 0.005354 0.026922 1
2940000 0.005262 0.026454 1
2950000 0.005397 0.025745 1
2960000 0.005064 0.024331 1
2970000 0.00621 0.025305 1
2980000 0.006261 0.024724 1
2990000 0.006262 0.027073 1
3000000 0.006684 0.025556 1
3010000 0.006704 0.027969 1
3020000 0.006574 0.02658 1
3030000 0.006453 0.024914 1
3040000 0.005535 0.025089 1
3050000 0.005211 0.025961 1
3060000 0.005075 0.025703 1
3070000 0.005254 0.022806 1
3080000 0.006762 0.026319 1
3090000 0.009298 0.042468 1
3100000 0.008968 0.065203 1
3110000 0.011953 0.043572 1
3120000 0.009536 0.03164 1
3130000 0.005753 0.03927 1
3140000 0.00544 0.032297 1
3150000 0.005789 0.031254 1
3160000 0.007133 0.031187 1
3170000 0.00531 0.029938 1
3180000 0.005852 0.026346 1
3190000 0.007304 0.029634 1
3200000 0.006394 0.029142 1
3210000 0.005696 0.028344 1
3220000 0.005696 0.029099 1
3230000 0.005879 0.029908 1
3240000 0.007104 0.028088 1
3250000 0.006693 0.028636 1
3260000 0.006879 0.025377 1
3270000 0.006785 0.024576 1
3280000 0.005885 0.027197 1
3290000 0.006854 0.025406 1
3300000 0.006452 0.028855 1
3310000 0.007391 0.02595 1
3320000 0.006684 0.027133 1
3330000 0.007171 0.025329 1
3340000 0.007238 0.025697 1
3350000 0.006908 0.029247 1
3360000 0.007243 0.028951 1
3370000 0.006295 0.030344 1
3380000 0.005898 0.029265 1
3390000 0.00574 0.030475 1
3400000 0.006952 0.026589 1
3410000 0.006432 0.028979 1
3420000 0.007723 0.028243 1
3430000 0.006747 0.029373 1
3440000 0.005832 0.029428 1
3450000 0.005661 0.031692 1
3460000 0.006339 0.03314 1
3470000 0.008727 0.034349 1
3480000 0.006985 0.033346 1
3490000 0.006821 0.033323 1
3500000 0.006268 0.034458 1
3510000 0.0073 0.02841 1
3520000 0.006899 0.026814 1
3530000 0.00698 0.027432 1
3540000 0.007102 0.028612 1
3550000 0.005936 0.028464 1
3560000 0.006043 0.029263 1
3570000 0.00568 0.028101 1
3580000 0.005936 0.032326 1
3590000 0.007218 0.035406 1
3600000 0.006893 0.034232 1
3610000 0.006378 0.027907 1
3620000 0.007444 0.027456 1
3630000 0.007464 0.027352 1
3640000 0.007479 0.028114 1
3650000 0.006584 0.028344 1
3660000 0.00571 0.030236 1
3670000 0.006135 0.03316 1
3680000 0.007078 0.036993 1
3690000 0.006684 0.033446 1
3700000 0.006489 0.046774 1
3710000 0.00858 0.054044 1
3720000 0.013608 0.057351 1
3730000 0.010059 0.036354 1
3740000 0.008502 0.031707 1
3750000 0.00663 0.033516 1
3760000 0.007449 0.032085 1
