N RS DS
2060000 0.006454 0.020117 1
2070000 0.008112 0.020765 1
2080000 0.006078 0.021893 1
2090000 0.006792 0.021237 1
2100000 0.008435 0.021698 1
2110000 0.00674 0.021901 1
2120000 0.006283 0.020567 1
2130000 0.008327 0.020246 1
2140000 0.006949 0.021667 1
2150000 0.005916 0.021832 1
2160000 0.007655 0.022756 1
2170000 0.008033 0.021794 1
2180000 0.007457 0.021981 1
2190000 0.00608 0.023554 1
2200000 0.006356 0.022279 1
2210000 0.008158 0.022743 1
2220000 0.008296 0.022474 1
2230000 0.008482 0.022991 1
2240000 0.006569 0.027311 1
2250000 0.00676 0.023885 1
2260000 0.006382 0.024983 1
2270000 0.007513 0.024643 1
2280000 0.006745 0.023405 1
2290000 0.007666 0.021708 1
2300000 0.008141 0.022146 1
2310000 0.007927 0.022549 1
2320000 0.006175 0.022895 1
2330000 0.007375 0.023151 1
2340000 0.007724 0.023131 1
2350000 0.008525 0.023213 1
2360000 0.008318 0.023533 1
2370000 0.00895 0.023845 1
2380000 0.008882 0.023382 1
2390000 0.008708 0.024938 1
2400000 0.008847 0.024347 1
2410000 0.00895 0.025096 1
2420000 0.009397 0.024913 1
2430000 0.008882 0.024318 1
2440000 0.008573 0.023283 1
2450000 0.009103 0.027329 1
2460000 0.00931 0.024712 1
2470000 0.008804 0.026747 1
2480000 0.008207 0.027803 1
2490000 0.007485 0.028465 1
2500000 0.007295 0.027942 1
2510000 0.00741 0.028644 1
2520000 0.009041 0.026404 1
2530000 0.009592 0.027016 1
2540000 0.008717 0.026296 1
2550000 0.008462 0.026863 1
2560000 0.007455 0.027332 1
2570000 0.007312 0.026856 1
2580000 0.007486 0.028875 1
2590000 0.007209 0.026721 1
2600000 0.009308 0.025369 1
2610000 0.009209 0.02703 1
2620000 0.009152 0.025186 1
2630000 0.009308 0.027419 1
2640000 0.008334 0.029436 1
2650000 0.007598 0.028034 1
2660000 0.008465 0.026668 1
2670000 0.009528 0.025823 1
2680000 0.009289 0.026886 1
2690000 0.009013 0.02849 1
2700000 0.007954 0.028585 1
2710000 0.008088 0.028687 1
2720000 0.009391 0.02837 1
2730000 0.009222 0.029527 1
2740000 0.00809 0.028507 1
2750000 0.007823 0.02853 1
2760000 0.009394 0.027846 1
2770000 0.008989 0.029272 1
2780000 0.008269 0.029543 1
2790000 0.007808 0.029269 1
2800000 0.01017 0.028064 1
2810000 0.009336 0.028399 1
2820000 0.007995 0.029311 1
2830000 0.008304 0.031616 1
2840000 0.009516 0.029784 1
2850000 0.008016 0.030435 1
2860000 0.009473 0.031054 1
2870000 0.00969 0.029631 1
2880000 0.007809 0.030998 1
2890000 0.010039 0.032124 1
2900000 0.008604 0.030848 1
2910000 0.010676 0.030787 1
2920000 0.008541 0.031039 1
2930000 0.010385 0.031658 1
2940000 0.010447 0.033599 1
2950000 0.011395 0.033963 1
2960000 0.008829 0.032515 1
2970000 0.010505 0.034053 1
2980000 0.013998 0.034961 1
2990000 0.010614 0.042148 1
3000000 0.010734 0.035183 1
3010000 0.013158 0.033681 1
3020000 0.00789 0.031016 1
3030000 0.00987 0.031749 1
3040000 0.009068 0.032212 1
3050000 0.010378 0.030949 1
3060000 0.008748 0.037229 1
3070000 0.010676 0.033242 1
3080000 0.009452 0.034967 1
3090000 0.008943 0.034371 1
3100000 0.010655 0.032703 1
3110000 0.0085 0.031259 1
3120000 0.010145 0.033168 1
3130000 0.008612 0.033835 1
3140000 0.010436 0.032944 1
3150000 0.01009 0.033225 1
3160000 0.009323 0.032809 1
3170000 0.011165 0.032198 1
3180000 0.008765 0.034383 1
3190000 0.011204 0.033816 1
3200000 0.010507 0.033791 1
3210000 0.008815 0.033436 1
3220000 0.010674 0.035419 1
3230000 0.01082 0.03645 1
3240000 0.010335 0.03968 1
3250000 0.010358 0.036987 1
3260000 0.009265 0.035936 1
3270000 0.010961 0.035633 1
3280000 0.01096 0.036355 1
3290000 0.010687 0.035423 1
3300000 0.009648 0.039029 1
3310000 0.010208 0.04127 1
3320000 0.00999 0.036249 1
3330000 0.009561 0.033369 1
3340000 0.011227 0.033115 1
3350000 0.009401 0.03591 1
3360000 0.010098 0.03729 1
3370000 0.011549 0.035603 1
3380000 0.010612 0.034068 1
3390000 0.010121 0.034946 1
3400000 0.009587 0.036769 1
3410000 0.011069 0.037936 1
3420000 0.011258 0.035977 1
3430000 0.011028 0.037415 1
3440000 0.011822 0.034369 1
3450000 0.010573 0.035391 1
3460000 0.009246 0.034246 1
3470000 0.010811 0.035879 1
3480000 0.011945 0.038599 1
3490000 0.012328 0.035337 1
3500000 0.011297 0.035955 1
3510000 0.009553 0.036604 1
3520000 0.009533 0.034701 1
3530000 0.0109 0.036002 1
3540000 0.01153 0.035142 1
3550000 0.010024 0.036619 1
3560000 0.009833 0.040578 1
3570000 0.009359 0.037389 1
3580000 0.010388 0.036341 1
3590000 0.0116 0.041124 1
3600000 0.010594 0.036222 1
3610000 0.011148 0.039414 1
3620000 0.011357 0.036581 1
3630000 0.01148 0.04124 1
3640000 0.011899 0.037164 1
3650000 0.011488 0.035848 1
3660000 0.011562 0.038713 1
3670000 0.011936 0.039514 1
3680000 0.013393 0.040683 1
3690000 0.010481 0.037309 1
3700000 0.011718 0.040099 1
3710000 0.010755 0.041553 1
3720000 0.010217 0.041297 1
3730000 0.010591 0.039925 1
3740000 0.011463 0.038867 1
3750000 0.010752 0.04099 1
3760000 0.012656 0.038688 1
3770000 0.013344 0.04106 1
3780000 0.013126 0.040558 1
3790000 0.011418 0.041812 1
3800000 0.012241 0.04087 1
3810000 0.012996 0.042368 1
3820000 0.012739 0.070585 1
3830000 0.023803 0.050065 1
3840000 0.01474 0.058952 1
3850000 0.019271 0.053314 1
3860000 0.012094 0.043989 1
3870000 0.012227 0.042603 1
3880000 0.012528 0.042443 1
3890000 0.012087 0.044183 1
3900000 0.012297 0.043526 1
3910000 0.012657 0.043106 1
3920000 0.011296 0.051004 1
3930000 0.014323 0.066973 1
3940000 0.019017 0.079345 1
3950000 0.018715 0.050084 1
